date,TLT_close,IEF_close,SHY_close
2013-06-03,114.78,105.33,84.39
2013-06-04,113.72,105.06,84.39
2013-06-05,115.29,105.57,84.4
2013-06-06,115.22,105.7,84.39
2013-06-07,113.16,104.88,84.38
2013-06-10,112.62,104.62,84.35
2013-06-11,113.96,104.88,84.34
2013-06-12,112.33,104.41,84.33
2013-06-13,114.09,105.2,84.37
2013-06-14,113.82,105.34,84.43
2013-06-17,113.22,105.09,84.43
2013-06-18,113.28,105.03,84.43
2013-06-19,112.11,103.59,84.33
2013-06-20,110.27,103.12,84.32
2013-06-21,108.4,102.03,84.245
2013-06-24,108.85,101.78,84.21
2013-06-25,107.88,101.66,84.195
2013-06-26,108.58,102.07,84.24
2013-06-27,109.69,102.62,84.29
2013-06-28,110.44,102.5,84.28
2013-07-01,110.41,102.4,84.3
2013-07-02,110.34,102.44,84.31
2013-07-03,110.01,102.24,84.3
2013-07-05,106.26,100.52,84.21
2013-07-08,107.29,101.11,84.27
2013-07-09,107.4,101.28,84.26
2013-07-10,106.56,100.92,84.26
2013-07-11,107.81,101.93,84.33
2013-07-12,107.72,101.85,84.28
2013-07-15,108.29,102.17,84.32
2013-07-16,108.66,102.22,84.33
2013-07-17,108.86,102.67,84.36
2013-07-18,107.5,102.19,84.35
2013-07-19,109.2,102.75,84.39
2013-07-22,109.36,102.74,84.39
2013-07-23,108.9,102.62,84.38
2013-07-24,107.52,101.93,84.34
2013-07-25,107.48,102.08,84.39
2013-07-26,108.14,102.17,84.4
2013-07-29,107.35,101.96,84.39
2013-07-30,107.31,101.93,84.4
2013-07-31,107.7,102.0,84.4
2013-08-01,105.36,100.96,84.35
2013-08-02,106.52,101.82,84.41
2013-08-05,105.7,101.5,84.4
2013-08-06,106.01,101.53,84.39
2013-08-07,106.8,101.9,84.41
2013-08-08,107.09,102.05,84.41
2013-08-09,107.26,102.12,84.39
2013-08-12,106.53,101.92,84.39
2013-08-13,104.99,101.0,84.35
2013-08-14,105.15,101.09,84.35
2013-08-15,103.73,100.53,84.32
2013-08-16,103.37,100.14,84.33
2013-08-19,102.47,99.71,84.31
2013-08-20,103.26,100.25,84.33
2013-08-21,102.13,99.62,84.28
2013-08-22,103.17,99.58,84.25
2013-08-23,104.29,100.14,84.25
2013-08-26,104.81,100.34,84.28
2013-08-27,106.13,100.91,84.32
2013-08-28,105.27,100.5,84.27
2013-08-29,106.11,100.6,84.29
2013-08-30,105.99,100.41,84.3
2013-09-03,104.22,99.69,84.25
2013-09-04,103.99,99.36,84.17
2013-09-05,102.54,98.6,84.09
2013-09-06,103.05,99.2,84.17
2013-09-09,103.1,99.4,84.19
2013-09-10,102.38,98.94,84.16
2013-09-11,103.29,99.44,84.2
2013-09-12,103.15,99.45,84.2
2013-09-13,103.55,99.58,84.2
2013-09-16,102.86,99.8,84.26
2013-09-17,103.71,100.0,84.29
2013-09-18,104.99,101.24,84.4
2013-09-19,104.37,100.89,84.37
2013-09-20,104.92,100.99,84.38
2013-09-23,105.69,101.37,84.4
2013-09-24,106.83,101.74,84.41
2013-09-25,107.05,102.02,84.44
2013-09-26,106.3,101.8,84.4
2013-09-27,106.56,101.94,84.45
2013-09-30,106.4,102.11,84.47
2013-10-01,105.8,101.73,84.43
2013-10-02,105.96,101.9,84.44
2013-10-03,105.79,102.04,84.44
2013-10-04,105.71,101.76,84.41
2013-10-07,106.14,101.85,84.41
2013-10-08,106.17,101.8,84.34
2013-10-09,105.32,101.62,84.37
2013-10-10,105.49,101.4,84.365
2013-10-11,105.46,101.55,84.37
2013-10-14,104.61,101.21,84.34
2013-10-15,104.54,101.23,84.37
2013-10-16,105.85,101.72,84.4
2013-10-17,106.81,102.3,84.43
2013-10-18,107.04,102.31,84.43
2013-10-21,106.7,102.24,84.43
2013-10-22,107.89,102.95,84.495
2013-10-23,108.31,103.13,84.47
2013-10-24,107.89,102.92,84.46
2013-10-25,108.29,103.1,84.48
2013-10-28,107.92,103.0,84.5
2013-10-29,108.06,103.14,84.5
2013-10-30,107.41,102.87,84.5
2013-10-31,107.64,102.75,84.51
2013-11-01,106.19,102.02,84.46
2013-11-04,106.29,102.22,84.48
2013-11-05,105.02,101.76,84.48
2013-11-06,105.07,102.07,84.5
2013-11-07,105.96,102.34,84.52
2013-11-08,103.41,101.19,84.46
2013-11-11,103.02,101.14,84.48
2013-11-12,103.5,101.05,84.46
2013-11-13,103.88,101.47,84.46
2013-11-14,104.52,101.96,84.51
2013-11-15,104.73,101.88,84.51
2013-11-18,105.36,102.24,84.55
2013-11-19,104.56,101.86,84.52
2013-11-20,102.78,101.3,84.53
2013-11-21,102.95,101.39,84.57
2013-11-22,103.91,101.68,84.55
2013-11-25,104.21,101.76,84.55
2013-11-26,104.6,101.98,84.56
2013-11-27,104.42,101.75,84.56
2013-11-29,104.45,101.69,84.57
2013-12-02,103.33,101.09,84.5
2013-12-03,103.71,101.27,84.52
2013-12-04,102.72,100.81,84.5
2013-12-05,102.43,100.56,84.51
2013-12-06,102.92,100.65,84.475
2013-12-09,103.16,100.77,84.48
2013-12-10,103.9,101.19,84.51
2013-12-11,103.1,100.8,84.48
2013-12-12,102.71,100.51,84.45
2013-12-13,103.21,100.66,84.47
2013-12-16,102.83,100.61,84.47
2013-12-17,103.29,100.93,84.49
2013-12-18,102.77,100.55,84.49
2013-12-19,102.67,100.13,84.44
2013-12-20,104.25,100.44,84.41
2013-12-23,103.66,100.12,84.4
2013-12-24,102.83,99.73,84.37
2013-12-26,102.1,99.48,84.34
2013-12-27,101.81,99.42,84.38
2013-12-30,102.51,99.69,84.4
2013-12-31,101.86,99.24,84.38
2014-01-02,102.17,99.63,84.42
2014-01-03,102.17,99.57,84.39
2014-01-06,102.6,99.85,84.4
2014-01-07,102.86,100.01,84.4
2014-01-08,102.58,99.52,84.32
2014-01-09,103.18,99.78,84.34
2014-01-10,104.41,100.62,84.42
2014-01-13,104.93,100.91,84.44
2014-01-14,104.45,100.53,84.42
2014-01-15,104.34,100.44,84.39
2014-01-16,105.04,100.72,84.41
2014-01-17,105.48,100.96,84.41
2014-01-21,105.56,100.85,84.4
2014-01-22,105.3,100.57,84.36
2014-01-23,106.79,101.25,84.44
2014-01-24,107.48,101.66,84.47
2014-01-27,106.73,101.35,84.46
2014-01-28,106.99,101.5,84.46
2014-01-29,107.87,101.98,84.52
2014-01-30,107.56,101.88,84.51
2014-01-31,108.28,102.28,84.55
2014-02-03,109.32,102.66,84.55
2014-02-04,108.16,102.35,84.56
2014-02-05,107.16,101.98,84.52
2014-02-06,106.7,101.79,84.53
2014-02-07,106.79,102.06,84.55
2014-02-10,107.09,102.11,84.53
2014-02-11,106.47,101.66,84.51
2014-02-12,105.92,101.42,84.47
2014-02-13,106.52,101.9,84.52
2014-02-14,106.58,101.83,84.52
2014-02-18,106.82,102.08,84.55
2014-02-19,106.37,101.88,84.52
2014-02-20,106.11,101.77,84.53
2014-02-21,106.67,101.9,84.54
2014-02-24,106.4,101.8,84.54
2014-02-25,107.35,102.15,84.53
2014-02-26,107.92,102.45,84.57
2014-02-27,108.51,102.57,84.56
2014-02-28,108.57,102.47,84.56
2014-03-03,109.03,102.81,84.59
2014-03-04,107.39,102.02,84.52
2014-03-05,107.62,102.13,84.55
2014-03-06,106.56,101.69,84.5
2014-03-07,105.89,101.25,84.44
2014-03-10,106.04,101.36,84.45
2014-03-11,106.32,101.46,84.45
2014-03-12,107.06,101.86,84.48
2014-03-13,108.5,102.46,84.53
2014-03-14,108.52,102.47,84.51
2014-03-17,107.71,102.06,84.48
2014-03-18,108.1,102.31,84.5
2014-03-19,107.26,101.36,84.36
2014-03-20,107.07,101.38,84.37
2014-03-21,108.23,101.57,84.38
2014-03-24,109.0,101.61,84.34
2014-03-25,108.59,101.55,84.35
2014-03-26,109.44,101.98,84.41
2014-03-27,109.99,102.08,84.4
2014-03-28,109.37,101.72,84.4
2014-03-31,109.1,101.73,84.42
2014-04-01,107.89,101.33,84.38
2014-04-02,107.27,100.89,84.35
2014-04-03,107.74,100.96,84.37
2014-04-04,108.46,101.58,84.44
2014-04-07,109.11,101.82,84.445
2014-04-08,109.37,101.96,84.46
2014-04-09,108.83,101.93,84.5
2014-04-10,109.84,102.36,84.55
2014-04-11,110.73,102.57,84.54
2014-04-14,110.44,102.41,84.53
2014-04-15,111.13,102.53,84.53
2014-04-16,111.27,102.37,84.5
2014-04-17,110.05,101.79,84.48
2014-04-21,109.96,101.77,84.48
2014-04-22,110.33,101.73,84.44
2014-04-23,110.96,101.99,84.48
2014-04-24,111.17,101.96,84.46
2014-04-25,111.33,102.1,84.47
2014-04-28,110.79,101.95,84.47
2014-04-29,110.64,102.04,84.46
2014-04-30,111.1,102.31,84.52
2014-05-01,112.02,102.41,84.5
2014-05-02,112.71,102.56,84.49
2014-05-05,112.03,102.5,84.5
2014-05-06,112.48,102.62,84.47
2014-05-07,112.08,102.7,84.5
2014-05-08,111.6,102.81,84.52
2014-05-09,111.24,102.73,84.55
2014-05-12,110.79,102.46,84.53
2014-05-13,111.75,102.86,84.56
2014-05-14,112.96,103.33,84.59
2014-05-15,113.86,103.7,84.6
2014-05-16,113.54,103.48,84.61
2014-05-19,112.7,103.35,84.63
2014-05-20,112.95,103.65,84.64
2014-05-21,112.26,103.49,84.64
2014-05-22,112.1,103.38,84.62
2014-05-23,112.7,103.59,84.6
2014-05-27,113.36,103.62,84.62
2014-05-28,114.76,104.19,84.64
2014-05-29,114.15,104.06,84.63
2014-05-30,114.1,103.98,84.62
2014-06-02,112.96,103.33,84.57
2014-06-03,111.57,102.81,84.55
2014-06-04,111.54,102.73,84.58
2014-06-05,111.59,102.88,84.59
2014-06-06,111.59,102.8,84.57
2014-06-09,111.43,102.65,84.51
2014-06-10,111.02,102.47,84.49
2014-06-11,111.22,102.61,84.52
2014-06-12,112.21,103.01,84.55
2014-06-13,112.15,102.81,84.5
2014-06-16,112.43,102.81,84.48
2014-06-17,111.54,102.38,84.41
