cci,month
86.2,1952-11
90.7,1953-02
80.8,1953-08
80.7,1953-11
82.0,1954-02
82.9,1954-05
87.0,1954-11
95.9,1955-02
99.1,1955-05
99.7,1955-11
98.2,1956-05
99.9,1956-08
100.2,1956-11
92.9,1957-05
83.7,1957-11
78.5,1958-02
80.9,1958-05
90.8,1958-11
95.3,1959-05
93.8,1959-11
100.0,1960-02
93.3,1960-05
97.2,1960-08
90.1,1960-11
91.6,1961-02
92.5,1961-05
99.2,1961-08
93.0,1961-11
99.9,1962-02
95.4,1962-05
91.6,1962-08
95.0,1962-11
98.4,1963-02
91.7,1963-05
96.4,1963-08
94.4,1963-11
99.5,1964-02
98.5,1964-05
100.6,1964-08
99.9,1964-11
102.0,1965-02
105.4,1965-05
103.4,1965-08
102.9,1965-11
100.0,1966-02
95.7,1966-05
91.2,1966-08
88.3,1966-11
94.1,1967-02
95.9,1967-05
97.0,1967-08
92.9,1967-11
97.2,1968-02
92.4,1968-05
92.4,1968-08
91.7,1968-11
98.2,1969-02
91.5,1969-05
86.4,1969-08
79.7,1969-11
78.1,1970-02
75.4,1970-05
77.6,1970-08
72.4,1970-11
78.1,1971-02
80.2,1971-05
82.1,1971-08
82.0,1971-11
92.8,1972-02
88.6,1972-05
95.2,1972-08
90.7,1972-11
81.9,1973-02
77.0,1973-05
72.0,1973-08
76.5,1973-11
61.8,1974-02
72.1,1974-05
64.4,1974-08
59.5,1974-11
57.6,1975-02
72.8,1975-05
75.7,1975-08
75.6,1975-11
84.6,1976-02
83.3,1976-05
89.7,1976-08
87.0,1976-11
87.1,1977-02
90.2,1977-05
89.0,1977-08
84.4,1977-11
83.7,1978-01
84.3,1978-02
78.8,1978-03
81.6,1978-04
82.9,1978-05
80.0,1978-06
82.4,1978-07
78.4,1978-08
80.4,1978-09
79.3,1978-10
75.0,1978-11
66.1,1978-12
72.1,1979-01
73.9,1979-02
68.4,1979-03
66.0,1979-04
68.1,1979-05
65.8,1979-06
60.4,1979-07
64.5,1979-08
66.7,1979-09
62.1,1979-10
63.3,1979-11
61.0,1979-12
67.0,1980-01
66.9,1980-02
56.5,1980-03
52.7,1980-04
51.7,1980-05
58.7,1980-06
62.3,1980-07
67.3,1980-08
73.7,1980-09
75.0,1980-10
76.7,1980-11
64.5,1980-12
71.4,1981-01
66.9,1981-02
66.5,1981-03
72.4,1981-04
76.3,1981-05
73.1,1981-06
74.1,1981-07
77.2,1981-08
73.1,1981-09
70.3,1981-10
62.5,1981-11
64.3,1981-12
71.0,1982-01
66.5,1982-02
62.0,1982-03
65.5,1982-04
67.5,1982-05
65.7,1982-06
65.4,1982-07
65.4,1982-08
69.3,1982-09
73.4,1982-10
72.1,1982-11
71.9,1982-12
70.4,1983-01
74.6,1983-02
80.8,1983-03
89.1,1983-04
93.3,1983-05
92.2,1983-06
92.8,1983-07
90.9,1983-08
89.9,1983-09
89.3,1983-10
91.1,1983-11
94.2,1983-12
100.1,1984-01
97.4,1984-02
101.0,1984-03
96.1,1984-04
98.1,1984-05
95.5,1984-06
96.6,1984-07
99.1,1984-08
100.9,1984-09
96.3,1984-10
95.7,1984-11
92.9,1984-12
96.0,1985-01
93.7,1985-02
93.7,1985-03
94.6,1985-04
91.8,1985-05
96.5,1985-06
94.0,1985-07
92.4,1985-08
92.1,1985-09
88.4,1985-10
90.9,1985-11
93.9,1985-12
95.6,1986-01
95.9,1986-02
95.1,1986-03
96.2,1986-04
94.8,1986-05
99.3,1986-06
97.7,1986-07
94.9,1986-08
91.9,1986-09
95.6,1986-10
91.4,1986-11
89.1,1986-12
90.4,1987-01
90.2,1987-02
90.8,1987-03
92.8,1987-04
91.1,1987-05
91.5,1987-06
93.7,1987-07
94.4,1987-08
93.6,1987-09
89.3,1987-10
83.1,1987-11
86.8,1987-12
90.8,1988-01
91.6,1988-02
94.6,1988-03
91.2,1988-04
94.8,1988-05
94.7,1988-06
93.4,1988-07
97.4,1988-08
97.3,1988-09
94.1,1988-10
93.0,1988-11
91.9,1988-12
97.9,1989-01
95.4,1989-02
94.3,1989-03
91.5,1989-04
90.7,1989-05
90.6,1989-06
92.0,1989-07
89.6,1989-08
95.8,1989-09
93.9,1989-10
90.9,1989-11
90.5,1989-12
93.0,1990-01
89.5,1990-02
91.3,1990-03
93.9,1990-04
90.6,1990-05
88.3,1990-06
88.2,1990-07
76.4,1990-08
72.8,1990-09
63.9,1990-10
66.0,1990-11
65.5,1990-12
66.8,1991-01
70.4,1991-02
87.7,1991-03
81.8,1991-04
78.3,1991-05
82.1,1991-06
82.9,1991-07
82.0,1991-08
83.0,1991-09
78.3,1991-10
69.1,1991-11
68.2,1991-12
67.5,1992-01
68.8,1992-02
76.0,1992-03
77.2,1992-04
79.2,1992-05
80.4,1992-06
76.6,1992-07
76.1,1992-08
75.6,1992-09
73.3,1992-10
85.3,1992-11
91.0,1992-12
89.3,1993-01
86.6,1993-02
85.9,1993-03
85.6,1993-04
80.3,1993-05
81.5,1993-06
77.0,1993-07
77.3,1993-08
77.9,1993-09
82.7,1993-10
81.2,1993-11
88.2,1993-12
94.3,1994-01
93.2,1994-02
